"title","dayOut","dayIn","timeOut","meanTimeOut","devFromMean"
3,1160873640,1485068256,324194616,117116005.349,207078610.651
3,1160873640,1161547380,673740,117116005.349,-116442265.349
3,1160873640,1164396060,3522420,117116005.349,-113593585.349
3,1161033540,1485068256,324034716,117116005.349,206918710.651
3,1162344300,1485068256,322723956,117116005.349,205607950.651
3,1162344300,1165710780,3366480,117116005.349,-113749525.349
3,1163035920,1485068256,322032336,117116005.349,204916330.651
3,1163035920,1164580020,1544100,117116005.349,-115571905.349
3,1163788320,1485068256,321279936,117116005.349,204163930.651
3,1163788320,1165105740,1317420,117116005.349,-115798585.349
3,1163788320,1165385460,1597140,117116005.349,-115518865.349
3,1163874720,1485068256,321193536,117116005.349,204077530.651
3,1164159240,1485068256,320909016,117116005.349,203793010.651
3,1164232560,1485068256,320835696,117116005.349,203719690.651
3,1164232560,1166054460,1821900,117116005.349,-115294105.349
3,1164487740,1485068256,320580516,117116005.349,203464510.651
3,1164487740,1166831580,2343840,117116005.349,-114772165.349
3,1164748620,1485068256,320319636,117116005.349,203203630.651
3,1164748620,1165962300,1213680,117116005.349,-115902325.349
3,1164748620,1167341520,2592900,117116005.349,-114523105.349
3,1164748620,1167420180,2671560,117116005.349,-114444445.349
3,1166041380,1485068256,319026876,117116005.349,201910870.651
3,1166041380,1166060760,19380,117116005.349,-117096625.349
3,1166060640,1485068256,319007616,117116005.349,201891610.651
3,1166060640,1167243060,1182420,117116005.349,-115933585.349
3,1166230440,1168107300,1876860,117116005.349,-115239145.349
3,1166230440,1168413960,2183520,117116005.349,-114932485.349
3,1166230440,1168545480,2315040,117116005.349,-114800965.349
3,1166293800,1168119900,1826100,117116005.349,-115289905.349
3,1167255480,1485068256,317812776,117116005.349,200696770.651
3,1167255480,1171412700,4157220,117116005.349,-112958785.349
3,1167439020,1485068256,317629236,117116005.349,200513230.651
3,1167439020,1169089620,1650600,117116005.349,-115465405.349
3,1167521040,1485068256,317547216,117116005.349,200431210.651
3,1167521040,1173644700,6123660,117116005.349,-110992345.349
3,1167521040,1174334040,6813000,117116005.349,-110303005.349
3,1168306680,1485068256,316761576,117116005.349,199645570.651
3,1168306680,1168553400,246720,117116005.349,-116869285.349
3,1168560720,1485068256,316507536,117116005.349,199391530.651
3,1169592720,1173507960,3915240,117116005.349,-113200765.349
3,1169592720,1173897840,4305120,117116005.349,-112810885.349
3,1170034440,1175583600,5549160,117116005.349,-111566845.349
3,1170034440,1179701280,9666840,117116005.349,-107449165.349
3,1170726240,1175888400,5162160,117116005.349,-111953845.349
3,1170726240,1176232740,5506500,117116005.349,-111609505.349
3,1170983820,1173128040,2144220,117116005.349,-114971785.349
3,1171836240,1485068256,313232016,117116005.349,196116010.651
3,1171836240,1178299860,6463620,117116005.349,-110652385.349
3,1173299820,1485068256,311768436,117116005.349,194652430.651
3,1173299820,1174249680,949860,117116005.349,-116166145.349
3,1173919080,1485068256,311149176,117116005.349,194033170.651
3,1173919080,1175127540,1208460,117116005.349,-115907545.349
3,1173919080,1179259740,5340660,117116005.349,-111775345.349
3,1175131860,1485068256,309936396,117116005.349,192820390.651
3,1175640720,1485068256,309427536,117116005.349,192311530.651
3,1175640720,1176852600,1211880,117116005.349,-115904125.349
3,1175640720,1177608900,1968180,117116005.349,-115147825.349
3,1176591420,1485068256,308476836,117116005.349,191360830.651
3,1176591420,1179264960,2673540,117116005.349,-114442465.349
3,1176767640,1485068256,308300616,117116005.349,191184610.651
3,1177720200,1485068256,307348056,117116005.349,190232050.651
3,1177720200,1180466580,2746380,117116005.349,-114369625.349
3,1177967340,1485068256,307100916,117116005.349,189984910.651
3,1177967340,1181601360,3634020,117116005.349,-113481985.349
3,1177967340,1182543360,4576020,117116005.349,-112539985.349
