checkOut,checkIn,title,yearOut,monthOut,weekOut
1301523240,0,Thriller,2011,3,13
1302656400,0,Thriller,2011,4,15
1303581840,0,Thriller,2011,4,16
1306197060,0,Thriller,2011,5,21
1309543440,0,Thriller,2011,7,26
1310164860,0,Thriller,2011,7,27
1311637560,0,Thriller,2011,7,30
1312660320,0,Thriller,2011,8,31
1315873620,0,Thriller,2011,9,37
1316989080,0,Thriller,2011,9,38
1320798120,0,Thriller,2011,11,45
1321925340,0,Thriller,2011,11,47
1323293160,0,Thriller,2011,12,49
1324431120,0,Thriller,2011,12,51
1324949340,0,Thriller,2011,12,52
1202267280,1202871480,Thriller,2008,2,6
1203627060,1203809460,Thriller,2008,2,8
1203627060,1204137780,Thriller,2008,2,8
1203627060,1204227480,Thriller,2008,2,8
1204926660,1206485160,Thriller,2008,3,10
1204926660,1206659700,Thriller,2008,3,10
1207104960,1207252920,Thriller,2008,4,14
1207104960,1207581180,Thriller,2008,4,14
1210732140,1211245740,Thriller,2008,5,20
1210732140,1211397000,Thriller,2008,5,20
1211475720,1212089100,Thriller,2008,5,21
1211475720,1214089560,Thriller,2008,5,21
1215450660,1215803940,Thriller,2008,7,28
1215450660,1216665960,Thriller,2008,7,28
1215450660,1216754760,Thriller,2008,7,28
1216927920,1217113620,Thriller,2008,7,30
1216927920,1217381940,Thriller,2008,7,30
1217962080,1218567960,Thriller,2008,8,32
1218843240,1219791180,Thriller,2008,8,33
1218843240,1219976580,Thriller,2008,8,33
1218843240,1220035020,Thriller,2008,8,33
1220144160,1220649120,Thriller,2008,8,35
1220144160,1220923860,Thriller,2008,8,35
1220144160,1221077520,Thriller,2008,8,35
1221183720,1223573700,Thriller,2008,9,37
1223658360,1223663640,Thriller,2008,10,41
1223658360,1223926800,Thriller,2008,10,41
1223943780,1225410300,Thriller,2008,10,42
1223943780,1225853460,Thriller,2008,10,42
1226547660,1229053800,Thriller,2008,11,46
1226547660,1229224680,Thriller,2008,11,46
1226547660,1229365380,Thriller,2008,11,46
1233440580,1233988800,Thriller,2009,1,5
1234570200,1235246580,Thriller,2009,2,7
1234570200,1235460300,Thriller,2009,2,7
1234570200,1235519460,Thriller,2009,2,7
1236900120,1238199060,Thriller,2009,3,11
1236900120,1238526120,Thriller,2009,3,11
1236900120,1238614500,Thriller,2009,3,11
1238633940,1239759900,Thriller,2009,4,14
1238633940,1240006620,Thriller,2009,4,14
1238633940,1240080180,Thriller,2009,4,14
1240273560,1242074280,Thriller,2009,4,17
1240273560,1242193860,Thriller,2009,4,17
1240273560,1242325860,Thriller,2009,4,17
1242592500,1244227500,Thriller,2009,5,20
1242592500,1244320860,Thriller,2009,5,20
1244765040,1246213920,Thriller,2009,6,24
1244765040,1246556100,Thriller,2009,6,24
1244765040,1246644960,Thriller,2009,6,24
1247006700,1248475500,Thriller,2009,7,28
1247006700,1248727260,Thriller,2009,7,28
1247006700,1248822540,Thriller,2009,7,28
1249432260,1250037720,Thriller,2009,8,32
1250722740,1255817460,Thriller,2009,8,34
1255825260,1256948580,Thriller,2009,10,42
1255825260,1257299580,Thriller,2009,10,42
1257551160,1261448940,Thriller,2009,11,45
1257551160,1261516320,Thriller,2009,11,45
1263677640,1267135920,Thriller,2010,1,2
1263677640,1267213980,Thriller,2010,1,2
1267482060,1268354580,Thriller,2010,3,9
1267482060,1268508960,Thriller,2010,3,9
