yearOut,monthOut,popularity,bibNumber
2010,12,1104,2098249
2010,12,3427,2149593
2010,12,3903,2244273
2010,12,3477,2656562
2011,1,5577,1701557
2011,1,1864,2098249
2011,1,1710,2149593
2011,1,4104,2244273
2011,1,2171,2656562
2011,2,4702,1701557
2011,2,240,2098249
2011,2,1694,2149593
2011,2,5092,2244273
2011,2,3788,2656562
2011,3,5304,1701557
2011,3,2104,2098249
2011,3,2492,2149593
2011,3,3364,2244273
2011,3,3808,2656562
2011,4,3980,1701557
2011,4,1432,2098249
2011,4,1651,2149593
2011,4,4265,2244273
2011,4,2736,2656562
2011,5,4828,1701557
2011,5,885,2098249
2011,5,1389,2149593
2011,5,4299,2244273
2011,5,2368,2656562
2011,6,3067,1701557
2011,6,631,2098249
2011,6,1512,2149593
2011,6,3332,2244273
2011,6,2805,2656562
2011,7,3398,1701557
2011,7,445,2098249
2011,7,2112,2149593
2011,7,3296,2244273
2011,7,1977,2656562
2011,8,3885,1701557
2011,8,601,2098249
2011,8,1246,2149593
2011,8,2625,2244273
2011,8,1903,2656562
2011,9,1449,1701557
2011,9,674,2098249
2011,9,664,2149593
2011,9,1775,2244273
2011,9,1331,2656562
2011,10,2392,1701557
2011,10,381,2098249
2011,10,442,2149593
2011,10,1663,2244273
2011,10,1799,2656562
2011,11,2297,1701557
2011,11,296,2098249
2011,11,859,2149593
2011,11,2077,2244273
2011,11,1513,2656562
2011,12,3242,1701557
2011,12,410,2098249
2011,12,1527,2149593
2011,12,2207,2244273
2011,12,1037,2656562
