"checkOut","checkIn","title","yearOut","monthOut","weekOut","count"
1203627060,1204227480,9,2008,2,8,48
1204926660,1206485160,9,2008,3,10,42
1204926660,1206659700,9,2008,3,10,42
1207104960,1207252920,9,2008,4,14,45
1207104960,1207581180,9,2008,4,14,45
1210732140,1211245740,9,2008,5,20,66
1210732140,1211397000,9,2008,5,20,66
1211475720,1212089100,9,2008,5,21,85
1211475720,1214089560,9,2008,5,21,85
1215450660,1215803940,9,2008,7,28,80
1215450660,1216665960,9,2008,7,28,80
1215450660,1216754760,9,2008,7,28,80
1216927920,1217113620,9,2008,7,30,70
1216927920,1217381940,9,2008,7,30,70
1217962080,1218567960,9,2008,8,32,82
1218843240,1219791180,9,2008,8,33,80
1218843240,1219976580,9,2008,8,33,80
1218843240,1220035020,9,2008,8,33,80
1220144160,1220649120,9,2008,8,35,68
1220144160,1220923860,9,2008,8,35,68
1220144160,1221077520,9,2008,8,35,68
1221183720,1223573700,9,2008,9,37,56
1223658360,1223663640,9,2008,10,41,91
1223658360,1223926800,9,2008,10,41,91
1223943780,1225410300,9,2008,10,42,62
1223943780,1225853460,9,2008,10,42,62
1226547660,1229053800,9,2008,11,46,52
1226547660,1229224680,9,2008,11,46,52
1226547660,1229365380,9,2008,11,46,52
1233440580,1233988800,9,2009,1,5,51
1234570200,1235246580,9,2009,2,7,77
1234570200,1235460300,9,2009,2,7,77
1234570200,1235519460,9,2009,2,7,77
1236900120,1238199060,9,2009,3,11,83
1236900120,1238526120,9,2009,3,11,83
1236900120,1238614500,9,2009,3,11,83
1238633940,1239759900,9,2009,4,14,64
1238633940,1240006620,9,2009,4,14,64
1238633940,1240080180,9,2009,4,14,64
1240273560,1242074280,9,2009,4,17,80
1240273560,1242193860,9,2009,4,17,80
1240273560,1242325860,9,2009,4,17,80
1242592500,1244227500,9,2009,5,20,82
1242592500,1244320860,9,2009,5,20,82
1244765040,1246213920,9,2009,6,24,65
1244765040,1246556100,9,2009,6,24,65
1244765040,1246644960,9,2009,6,24,65
1247006700,1248475500,9,2009,7,28,69
1247006700,1248727260,9,2009,7,28,69
1247006700,1248822540,9,2009,7,28,69
1249432260,1250037720,9,2009,8,32,166
1250722740,1255817460,9,2009,8,34,230
1255825260,1256948580,9,2009,10,42,170
1255825260,1257299580,9,2009,10,42,170
1257551160,1261448940,9,2009,11,45,186
1257551160,1261516320,9,2009,11,45,186
1263677640,1267135920,9,2010,1,2,201
1263677640,1267213980,9,2010,1,2,201
1267482060,1268354580,9,2010,3,9,191
1267482060,1268508960,9,2010,3,9,191
1268605020,1270418880,9,2010,3,10,130
1270492920,1272307920,9,2010,4,14,157
1272309780,1273865520,9,2010,4,17,110
1272309780,1273959600,9,2010,4,17,110
1274837340,1279851720,9,2010,5,21,137
1280252820,1280804940,9,2010,7,30,105
1280252820,1280864460,9,2010,7,30,105
1281307980,1282437420,9,2010,8,31,147
1281307980,1282676700,9,2010,8,31,147
1281307980,1284606000,9,2010,8,31,147
1281307980,1284660060,9,2010,8,31,147
1285119840,1286327820,9,2010,9,38,136
1285119840,1286656320,9,2010,9,38,136
1285119840,1286822580,9,2010,9,38,136
1287694560,1287874020,9,2010,10,42,86
1287694560,1287971940,9,2010,10,42,86
1288116660,1288301760,9,2010,10,43,81
1288665000,1289090640,9,2010,11,44,111
1288665000,1289257800,9,2010,11,44,111
1288665000,1289331540,9,2010,11,44,111
1289613180,1290460680,9,2010,11,45,84
1290885480,1291069500,9,2010,11,47,67
1290885480,1291249860,9,2010,11,47,67
1290885480,1291314840,9,2010,11,47,67
1291774920,1293071760,9,2010,12,49,105
1291774920,1293505860,9,2010,12,49,105
1291774920,1293654660,9,2010,12,49,105
1297709520,1301339040,9,2011,2,7,104
1302656400,1302734940,9,2011,4,15,120
1302656400,1303318680,9,2011,4,15,120
1303581840,1305771300,9,2011,4,16,64
1303581840,1305826140,9,2011,4,16,64
1309543440,1309993320,9,2011,7,26,20
1310164860,1310688300,9,2011,7,27,80
1310164860,1310942880,9,2011,7,27,80
1310164860,1311014100,9,2011,7,27,80
1311637560,1312327980,9,2011,7,30,92
1312660320,1313106240,9,2011,8,31,76
1312660320,1313278140,9,2011,8,31,76
1312660320,1313433600,9,2011,8,31,76
1312660320,1314406020,9,2011,8,31,76
1312660320,1314468480,9,2011,8,31,76
1315873620,1316730240,9,2011,9,37,55
1316989080,1317176580,9,2011,9,38,81
1321925340,1322081520,9,2011,11,47,58
1322867280,1322867580,9,2011,12,48,41
1323293160,1323894840,9,2011,12,49,63
1324431120,1324502340,9,2011,12,51,27
1324949340,1325119320,9,2011,12,52,29
1199306340,0,9,2008,1,1,52
1200431460,0,9,2008,1,3,50
1202430420,0,9,2008,2,6,68
1205521920,0,9,2008,3,11,75
1206494820,0,9,2008,3,13,51
1207520160,0,9,2008,4,14,45
1208549100,0,9,2008,4,16,84
1209432000,0,9,2008,4,18,54
1210646340,0,9,2008,5,20,66
1213383180,0,9,2008,6,24,74
1214096520,0,9,2008,6,25,92
1217288760,0,9,2008,7,31,43
1218500520,0,9,2008,8,33,80
1220406180,0,9,2008,9,36,60
1222819320,0,9,2008,9,40,18
1225237140,0,9,2008,10,44,30
1226538360,0,9,2008,11,46,52
1228266840,0,9,2008,12,49,63
1230423960,0,9,2008,12,52,14
1232149680,0,9,2009,1,3,66
1199306340,1199761560,9,2008,1,1,52
1199306340,1199908560,9,2008,1,1,52
1202430420,1204859160,9,2008,2,6,68
1202430420,1204932780,9,2008,2,6,68
1205521920,1206388080,9,2008,3,11,75
