,title,nWords,text,level,0,1,2,3,4,5,6,7
0,Philosophy,/wiki/Philosophy,0,None,-0.09680910106898843,-0.00986710590713876,0.042675144770017895,0.01670694945384659,0.13419478139232216,0.032148791740900434,-0.1994834968159012,-0.18245411795303265
1,Iran,/wiki/Iran,1,Philosophy,0.6192370842601521,0.2109725793392596,0.05351365028016567,0.0034137170623655478,0.01348767679164589,-0.010061624982123136,-0.034157468578212884,0.06304489084401514
2,Falcon,/wiki/Falcons,2,Iran,-0.2059762972295557,-0.14470246676720624,-0.16690129644696086,0.1267004104960615,-0.08873815869125617,-0.2615747845869884,-0.2626513902690017,0.36862639021911
3,Panthera,/wiki/Panthera,2,Iran,-0.19237917698148368,-0.1930747745226941,-0.12265182259307215,0.12126908908711607,-0.09079972413596067,-0.21455813290426246,-0.24457261189702875,0.32271162793795066
4,List of newspapers in Iran,/wiki/List_of_Iranian_newspapers,2,Iran,0.10644434946006333,-0.06913440801417857,-0.187794617885228,-0.015140913335498125,0.016416751727179896,0.1850272139301475,-0.02846345423886025,-0.11314620035311088
5,Shikand-gumanic Vichar,/wiki/Shikand-gumanic_Vichar,2,Iran,-0.15711294556209826,-0.06371149910655828,0.008504231144273226,-0.006948892255162212,0.03769847029224459,0.13565886887743014,-0.060109609556508466,0.05683962361735478
6,Mesopotamia,/wiki/Mesopotamia,2,Iran,-0.13750713994053645,0.3770971646139243,0.28759123509625545,0.1685171182725938,0.02364762467057926,0.036343599923447586,0.0640404608502674,-0.0247379202142844
7,Basij,/wiki/Basij,2,Iran,0.100648779085332,-0.12777380272900415,-0.21075124117020366,-0.2100776694184003,0.208889648927024,0.055391553100106086,0.29717062840736025,0.11533817773647236
8,World War II,/wiki/World_War_II,2,Iran,-0.02202088868524797,-0.1313794664414303,0.27893257314787945,-0.2789698166829412,0.020622824952053705,-0.2915113715326673,0.21113077831725685,0.11624712326745155
9,Regions of Iran,/wiki/Regions_of_Iran,2,Iran,0.08816308487311944,-0.05195198011986795,-0.0398823870054956,0.06774158222763757,-0.06292502046744645,0.1027562364833942,0.15416374873579874,-0.024951764211481573
10,Iranian rock,/wiki/Iranian_rock,2,Iran,0.0949081201372121,-0.016179757227499713,-0.17780093881313655,-0.13830854495298792,-0.18032872067956274,-0.04693404778505533,0.05684008211805015,-0.05719546963144264
11,Virtual private network,/wiki/Virtual_private_network,2,Iran,-0.1446912812001659,-0.15403705744607418,-0.06956526604872054,0.0019982688186151575,-0.15411837090352,0.031712789641302565,-0.009327317100038951,-0.16807826883286794
12,Downpour (film),/wiki/Downpour_(film),2,Iran,-0.06537842247136166,-0.07224717948193042,-0.20938178767840326,0.0911298564537614,0.07451523155957482,0.3034190076342667,-0.3292228905257426,-0.01822534207448576
13,Iranian Plateau,/wiki/Iranian_Plateau,2,Iran,0.10876995241469403,0.223353974245154,-0.27085564257861844,0.2817968949641167,-0.2487126236555877,-0.17043977855988424,0.32348983740253506,-0.1252402807455386
14,Chogha Mish,/wiki/Chogha_Mish,2,Iran,-0.10715840017102203,0.12256994618333185,0.09036952556490836,0.12283126858800444,-0.08703489671153627,0.10723931849802984,0.10293176246095992,-0.011715952060934705
15,Aryan,/wiki/Aryan,2,Iran,0.007736290186800375,0.3125263051135742,-0.2571758207456083,-0.11114131107750597,0.13355045300158028,-0.22043701134004415,-0.13887089967374902,0.07317095933030139
16,Universal suffrage,/wiki/Universal_suffrage,2,Iran,-0.10156267739377496,-0.1608718164614454,0.06875237308737514,-0.15454173952797468,0.003877990308352064,-0.15792086562534896,0.004092538803527081,-0.10199103667194684
